127.0.0.1 - - [14/Jan/2020:14:24:25 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:24:49 +0900] "GET /JSP_Han/resources/contents/videos/hamzzi.mp4 HTTP/1.1" 206 4637642
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:24:49 +0900] "GET /JSP_Han/resources/contents/videos/jjjeerryyy.mp4 HTTP/1.1" 206 3062022
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:24:50 +0900] "GET /JSP_Han/resources/contents/videos/hamzzi.mp4 HTTP/1.1" 206 2409418
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:24:51 +0900] "GET /JSP_Han/resources/contents/videos/jjjeerryyy.mp4 HTTP/1.1" 206 833798
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:24:52 +0900] "GET /JSP_Han/video.jsp?Page=2&&sort=1 HTTP/1.1" 200 14673
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:24:52 +0900] "GET /JSP_Han/resources/contents/videos/%EB%B0%95%ED%9A%A8%EC%8B%A0-%EA%B7%B8%EB%82%A0.mp4 HTTP/1.1" 206 61
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:24:53 +0900] "GET /JSP_Han/video.jsp?Page=1&&sort=1 HTTP/1.1" 200 16940
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:24:56 +0900] "GET /JSP_Han/video.jsp?sort=2 HTTP/1.1" 200 16978
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:24:58 +0900] "GET /JSP_Han/video.jsp?sort=3 HTTP/1.1" 200 16953
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:25:01 +0900] "GET /JSP_Han/video.jsp?sort=1 HTTP/1.1" 200 16940
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:25:03 +0900] "GET /JSP_Han/video.jsp?Page=2&&sort=1 HTTP/1.1" 200 14673
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:25:04 +0900] "GET /JSP_Han/video.jsp?Page=1&&sort=1 HTTP/1.1" 200 16940
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:25:08 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20870
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:25:08 +0900] "GET /JSP_Han/review.jsp HTTP/1.1" 200 14639
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:25:08 +0900] "GET /JSP_Han/resources/imgs/review_selected.png HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:25:12 +0900] "GET /JSP_Han/reviewpost.jsp?review=2 HTTP/1.1" 200 15049
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:25:25 +0900] "GET /JSP_Han/video.jsp HTTP/1.1" 200 16940
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:25:26 +0900] "GET /JSP_Han/board.jsp HTTP/1.1" 200 15267
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:25:26 +0900] "GET /JSP_Han/resources/imgs/text_selected.png HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:25:27 +0900] "GET /JSP_Han/review.jsp HTTP/1.1" 200 14639
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:25:28 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20870
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:25:29 +0900] "GET /JSP_Han/watch.jsp?video=1 HTTP/1.1" 200 16213
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:28:25 +0900] "GET /JSP_Han/review.jsp HTTP/1.1" 200 14639
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:28:26 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20870
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:28:27 +0900] "GET /JSP_Han/board.jsp HTTP/1.1" 200 15267
0:0:0:0:0:0:0:1 - - [14/Jan/2020:14:28:27 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20870
0:0:0:0:0:0:0:1 - - [14/Jan/2020:15:44:36 +0900] "GET /JSP_Han/resources/contents/videos/1%EB%B6%84%EA%B3%BC%ED%95%99.mp4 HTTP/1.1" 206 655360
0:0:0:0:0:0:0:1 - - [14/Jan/2020:15:44:36 +0900] "GET /JSP_Han/resources/contents/videos/1%EB%B6%84%EA%B3%BC%ED%95%99.mp4 HTTP/1.1" 206 417
